icims_id,title,category,ext_app_url,poc,poc_email,poc_phone,location,neighborhood
14636,BCYF Hennigan Community Center - Teen Program - Gym Assistant,"Sports, Fitness and/or Recreation",,Martha Salamanca,martha.salamanca@boston.gov,617-635-5198,200 Heath Street,Jamaica Plain
14637,BCYF Hennigan Community Center - Teen Program - Teen Assistant,Peer Leadership,,Martha Salamanca,martha.salamanca@boston.gov,617-635-5198,200 Heath Street,Jamaica Plain
14638,BCYF Holland Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Sounja Bynoe,sounja.bynoe@boston.gov,617-635-5144,85 Olney Street,Dorchester
14639,BCYF Holland Community Center - Junior Athletic Assistant,"Sports, Fitness and/or Recreation",,Sounja Bynoe,sounja.bynoe@boston.gov,617-635-5144,85 Olney Street,Dorchester
14640,BCYF Holland Community Center - Junior Clerical Assistant,Administrative or Office Assistant,,Sounja Bynoe,sounja.bynoe@boston.gov,617-635-5144,85 Olney Street,Dorchester
14641,BCYF Holland Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,85 Olney Street,Dorchester
14642,BCYF Holland Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,85 Olney Street,Dorchester
14643,BCYF Hyde Park Community Center - Camp Counselor,Camp Counselor/ Summer Program Staff Support,,Wiston Lloyd,Winston.Lloyd@boston.gov,617-635-5178,1179 River Street,Hyde Park
14644,BCYF Hyde Park Community Center - Junior Camp Counselor,Camp Counselor/ Summer Program Staff Support,,Wiston Lloyd,Winston.Lloyd@boston.gov,617-635-5178,1179 River Street,Hyde Park
14645,BCYF Hyde Park Community Center - Maintenance Worker,Maintenance/Landscaping,,Wiston Lloyd,Winston.Lloyd@boston.gov,617-635-5178,1179 River Street,Hyde Park
14646,BCYF Jackson Mann Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,John Vitale,John.Vitale@boston.gov,617-635-5153,500 Cambridge St.,Allston
14647,BCYF Jackson Mann Community Center - Administrative Clerk,Administrative or Office Assistant,,John Vitale,John.Vitale@boston.gov,617-635-5153,500 Cambridge St.,Allston
14771,Boston Public Library - Library Aide,Information Technology,,Diana Preusser,dpreusser@bpl.org,617-388-5996,700 Boylston Street,Back Bay
14648,BCYF Jackson Mann Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,500 Cambridge St.,Allston
14649,BCYF Kent Charlestown Community School - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Maryann Wrenn,maryann.wrenn@boston.gov,617-635-5170,255 Medford Street,Charlestown
14650,BCYF Kent Charlestown Community School - Building Assistant,Maintenance/Landscaping,,Maryann Wrenn,maryann.wrenn@boston.gov,617-635-5170,255 Medford Street,Charlestown
14651,BCYF Kent Charlestown Community School - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,255 Medford Street,Charlestown
14652,BCYF Leahy Holloran Community Center - Junior Camp Counselor,Child Care/Day Care Facility,,Lisa Zinck,lisa.zinck@boston.gov,617-635-5150,1 Worrell Street,Dorchester
14653,BCYF Leahy Holloran Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,1 Worrell Street,Dorchester
14654,BCYF Leahy Holloran Community Center - Summer Fun Stops - Junior Supervisor,Camp Counselor/ Summer Program Staff Support,,Joan Lanigan,joan.lanigan@boston.gov,617-635-4920,1 Worrell Street,Dorchester
14655,BCYF Madison Park Community Center - Gym Assistant,"Sports, Fitness and/or Recreation",,Javier Vega,javier.vega@boston.gov,857-334-1045,75 Malcolm X Blvd,Roxbury
14656,BCYF Madison Park Community Center - Building Assistant,Administrative or Office Assistant,,Javier Vega,javier.vega@boston.gov,857-334-1045,75 Malcolm X Blvd,Roxbury
14657,BCYF Madison Park Community Center - Peer Leader,Camp Counselor/ Summer Program Staff Support,,Javier Vega,javier.vega@boston.gov,857-334-1045,75 Malcolm X Blvd,Roxbury
14658,BCYF Madison Park Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,75 Malcolm X Blvd,Roxbury
14659,BCYF Madison Park Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,75 Malcolm X Blvd,Roxbury
14660,BCYF Marshall Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Sean Morales,sean.morales@boston.gov,617-635-4920,35 Westville Street,Dorchester
14661,BCYF Marshall Community Center - Gym Assistant,"Sports, Fitness and/or Recreation",,Sean Morales,sean.morales@boston.gov,617-635-4920,35 Westville Street,Dorchester
14662,BCYF Marshall Community Center - Clerical,Administrative or Office Assistant,,Sean Morales,sean.morales@boston.gov,617-635-4920,35 Westville Street,Dorchester
14663,BCYF Marshall Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,35 Westville Street,Dorchester
14664,BCYF Martin Pino Community Center - Summer Camp Head Counselor,Camp Counselor/ Summer Program Staff Support,,Joseph Weddleton,joseph.weddleton@boston.gov,617-635-2121,86 Boardman Street,East Boston
14665,BCYF Martin Pino Community Center - Summer Camp Counselor,Camp Counselor/ Summer Program Staff Support,,Joseph Weddleton,joseph.weddleton@boston.gov,617-635-2121,86 Boardman Street,East Boston
14707,BCYF Shelburne Community Center - Office Assistant,Administrative or Office Assistant,,Warren Chase,warren.chase@boston.gov,617-635-5213,2730 Washington Street,Roxbury
14666,BCYF Martin Pino Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,86 Boardman Street,East Boston
14667,BCYF Mason Pool - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,159 Norfolk Ave,Roxbury
14668,BCYF Mattahunt Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Ernest Hughes ,ernest.hughes@boston.gov,857-277-2383,100 Hebron Street,Mattapan
14669,BCYF Mattahunt Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,100 Hebron Street,Mattapan
14670,BCYF Mattahunt Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,100 Hebron Street,Mattapan
14671,BCYF Menino Community Center Council Inc.- Camp Counselor,Camp Counselor/ Summer Program Staff Support,,Cynthia Johnson,cynthia.a.johnson@boston.gov,617-635-5256,125 Brookway Road,Roslindale
14672,BCYF Menino Community Center Council Inc.- Maintenance Assistant,Maintenance/Landscaping,,Cynthia Johnson,cynthia.a.johnson@boston.gov,617-635-5256,125 Brookway Road,Roslindale
14673,BCYF Menino Community Center Council Inc.- Athletic Assistant,"Sports, Fitness and/or Recreation",,Cynthia Johnson,cynthia.a.johnson@boston.gov,617-635-5256,125 Brookway Road,Roslindale
14727,Boston Baseball Camp - Junior Camp Counselor,Camp Counselor/ Summer Program Staff Support,,Donald Craft,dcraft111@gmail.com,617-680-1781,75 Turtle Pond Parkway,Hyde Park
14674,BCYF Menino Community Center Council Inc. - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,125 Brookway Road,Roslindale
14675,BCYF Mildred Ave Community Center - Junior Camp Counselor,Camp Counselor/ Summer Program Staff Support,,Valerie Scales,valerie.scales@boston.gov,617-635-1328,5 Mildred Ave,Mattapan
14676,BCYF Mildred Ave Community Center - Gym Assistant,"Sports, Fitness and/or Recreation",,Valerie Scales,valerie.scales@boston.gov,617-635-1328,5 Mildred Ave,Mattapan
14677,BCYF Mildred Ave Community Center - Office Assistant,Administrative or Office Assistant,,Valerie Scales,valerie.scales@boston.gov,617-635-1328,5 Mildred Ave,Mattapan
14678,BCYF Mildred Ave Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,5 Mildred Ave,Mattapan
14679,BCYF Mildred Ave Community Center - Summer Fun Stops - Junior Supervisor,Camp Counselor/ Summer Program Staff Support,,Joan Lanigan,joan.lanigan@boston.gov,617-635-4920,5 Mildred Ave,Mattapan
14680,BCYF Mirabella Pool - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,475 Commercial St,Downtown
14681,BCYF Nazzaro Community Center - Summer Day Camp Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Carl Ameno,Carl.Ameno@boston.gov,617-635-5166,30 North Bennet Street,Downtown
14682,BCYF Nazzaro Community Center- Staff Assistant,Administrative or Office Assistant,,Carl Ameno,Carl.Ameno@boston.gov,617-635-5166,30 North Bennet Street,Downtown
14683,BCYF Nazzaro Community Center - Summer Fun Stops - Junior Supervisor,Camp Counselor/ Summer Program Staff Support,,Joan Lanigan,joan.lanigan@boston.gov,617-635-4920,30 North Bennet Street,Downtown
14684,BCYF Ohrenberger Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Patricia Kennedy,patricia.kennedy@boston.gov,617-635-5184,175 West Boundary Road,West Roxbury
14685,BCYF Ohrenberger Community Center - Assistant Gymnastics Couch,"Sports, Fitness and/or Recreation",,Patricia Kennedy,patricia.kennedy@boston.gov,617-635-5184,175 West Boundary Road,West Roxbury
14686,BCYF Ohrenberger Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,175 West Boundary Road,West Roxbury
14687,BCYF Paris Street Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,112 Paris Street ,East Boston
14688,BCYF Paris Street Community Center - Summer Fun Stops - Junior Supervisor,Camp Counselor/ Summer Program Staff Support,,Joan Lanigan,joan.lanigan@boston.gov,617-635-4920,112 Paris Street ,East Boston
14767,Boston Public Library - Library Aide,Information Technology,,Diana Preusser,dpreusser@bpl.org,617-388-5996,700 Boylston Street,Back Bay
14689,BCYF Paris Street Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,112 Paris Street ,East Boston
14690,BCYF Paris Street Community Center: East Boston Harborside Community Council - Summer Camp Support Staff,Camp Counselor/ Summer Program Staff Support,,Elena Black,elenarose.black@boston.gov,617-635-5125,112 Paris Street ,East Boston
14691,BCYF Paris Street Community Center: East Boston Harborside Community Council - All Girls Summer Program,Camp Counselor/ Summer Program Staff Support,,Elena Black,elenarose.black@boston.gov,617-635-5125,112 Paris Street ,East Boston
14692,BCYF Paris Street Community Center: East Boston Harborside Community Council - Pool and Maintenance Support Staff,Maintenance/Landscaping,,Elena Black,elenarose.black@boston.gov,617-635-5125,112 Paris Street ,East Boston
14693,BCYF Perkins Community Center - Front Desk,Administrative or Office Assistant,,Michelle Brooks,Michelle.brooks@boston.gov,617-635-5146,155 Talbot Ave,Dorchester
14694,BCYF Perkins Community Center - Locker Room Attendant,Maintenance/Landscaping,,Michelle Brooks,Michelle.brooks@boston.gov,617-635-5146,155 Talbot Ave,Dorchester
14695,BCYF Perkins Community Center - Junior Counselor,Child Care/Day Care Facility,,Michelle Brooks,Michelle.brooks@boston.gov,617-635-5146,155 Talbot Ave,Dorchester
14696,BCYF Perkins Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,155 Talbot Ave,Dorchester
14697,BCYF Perkins Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,155 Talbot Ave,Dorchester
14768,Boston Public Library - Library Aide,Information Technology,,Diana Preusser,dpreusser@bpl.org,617-388-5996,700 Boylston Street,Back Bay
14698,BCYF Quincy Community Center - Gym/Recreation Assistant,"Sports, Fitness and/or Recreation",,Helen Wong,Helen.Wong@boston.gov,617-635-5129,885 Washington Street,Chinatown
14699,BCYF Quincy Community Center - Front Desk Assistant,Administrative or Office Assistant,,Helen Wong,Helen.Wong@boston.gov,617-635-5129,885 Washington Street,Chinatown
14700,BCYF Quincy Community Center - Lifeguard Intern,"Sports, Fitness and/or Recreation",,Antonio Rosario,antonio.rosario@boston.gov,617-635-4920 ext. 2150,885 Washington Street,Chinatown
14701,BCYF Quincy Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,885 Washington Street,Chinatown
14702,BCYF Roche Community Center - West Roxbury Community Center - Counselor,Camp Counselor/ Summer Program Staff Support,,Lauren Hurley,lauren.hurley@boston.gov,617-635-5066,1716 Centre Street ,West Roxbury
14703,BCYF Roslindale Community Center - KAS Summer,Camp Counselor/ Summer Program Staff Support,,Tyson Mercer,missiontyson@gmail.com,617-635-5185,6 Cummins Hwy,Roslindale
14704,BCYF Roslindale Community Center - 6-12 Year Old Summer Program,Camp Counselor/ Summer Program Staff Support,,Tyson Mercer,missiontyson@gmail.com,617-635-5185,6 Cummins Hwy,Roslindale
14705,BCYF Roslindale Community Center - Front Desk,Administrative or Office Assistant,,Tyson Mercer,missiontyson@gmail.com,617-635-5185,6 Cummins Hwy,Roslindale
14706,BCYF Shelburne Community Center - Junior Counselor,Camp Counselor/ Summer Program Staff Support,,Warren Chase,warren.chase@boston.gov,617-635-5213,2730 Washington Street,Roxbury
14708,BCYF Shelburne Community Center - Gym Assistant/Coach,"Sports, Fitness and/or Recreation",,Warren Chase,warren.chase@boston.gov,617-635-5213,2730 Washington Street,Roxbury
14709,BCYF Shelburne Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,2730 Washington Street,Roxbury
14710,BCYF Streetworker Program - Seasonal Outdoor Maintenance,Maintenance/Landscaping,,Krishante Arocho,krishante.arocho@boston.gov,617-635-4920 ext. 2139,1483 Tremont Street ,Mission Hill
14711,BCYF Tobin Community Center - Youth Counselor,Camp Counselor/ Summer Program Staff Support,,Andrew Angus,andrew.angus@boston.gov,617-635-5216,1481 Tremont St,Roxbury
14712,BCYF Tobin Community Center - Youth Staff Assistant,Administrative or Office Assistant,,Andrew Angus,andrew.angus@boston.gov,617-635-5216,1481 Tremont St,Roxbury
14713,BCYF Tobin Community Center - Senior Counselor,Camp Counselor/ Summer Program Staff Support,,Andrew Angus,andrew.angus@boston.gov,617-635-5216,1481 Tremont St,Roxbury
14714,BCYF Tobin Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,1481 Tremont St,Roxbury
14715,BCYF Tynan Community Center - Recreation Assistant,Camp Counselor/ Summer Program Staff Support,,John Lydon,john.lydon@boston.gov,617-635-5110,650 East Fourth Street,South Boston
14716,BCYF Tynan Community Center - Assistant and Lead Instructor/Organizer,"Sports, Fitness and/or Recreation",,John Lydon,john.lydon@boston.gov,617-635-5110,650 East Fourth Street,South Boston
14717,BCYF Tynan Community Center - Senior Instructor/Organizer,Peer Leadership,,John Lydon,john.lydon@boston.gov,617-635-5110,650 East Fourth Street,South Boston
14726,Boston Asian: Youth Essential Service - Peer Educator,Peer Leadership,,Nicholas You,nyou@bostonasianyes.org,617-482-4243,199 Harrison Avenue,Chinatown
14718,BCYF Tynan Community Center - Superteens Program - SuperTeens Program Helper,Peer Leadership,,Kate Hennigan,kate.hennigan@boston.gov,617-635-4920,650 East Fourth Street,South Boston
14719,Beantown Society - Youth Coordinator,Community Organizing,,Noemi Paz,noemispaz@beantownsociety.org,617-524-6373,45 Danforth St,Jamaica Plain
14720,Berklee City Music Boston - City Music Boston Summer Program Assistant,"Digital Media, Communications or Film",,Justin Johnson,jjohnson18@berklee.edu,617-747-6368,921 Boylston St,Back Bay
14721,BGCD - Walter Denney Youth Center - Recreation Assistant,Camp Counselor/ Summer Program Staff Support,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/201021/4147467/245-4513870b035360b29ea8b77c43efc211_2018_Career_Prep_App.doc,Chad Hassey,chassey@bgcdorchester.org,617-822-3701,270 Mount Vernon St,Dorchester
14722,Bikes Not Bombs - Youth Pathways - Assistant and Lead Instructor/Organizer,Camp Counselor/ Summer Program Staff Support,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/201021/4147467/191-33d896a8d6522787532e84d7054d5ada_YOUTH_EMPLOYEE_APPLICATION.doc.pdf,Will Gifford,will@bikesnotbombs.org,617-522-0222,284 Amory Street,Jamaica Plain
14723,Bikes Not Bombs - Youth Pathways - Senior Instructor/Organizer,Camp Counselor/ Summer Program Staff Support,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/201021/4147467/191-33d896a8d6522787532e84d7054d5ada_YOUTH_EMPLOYEE_APPLICATION.doc.pdf,Will Gifford,will@bikesnotbombs.org,617-522-0222,284 Amory Street,Jamaica Plain
14724,Bikes Not Bombs - Youth Pathways - Mechanic and Sales Associate,Business or Entrepreneurship,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/201021/4147467/191-33d896a8d6522787532e84d7054d5ada_YOUTH_EMPLOYEE_APPLICATION.doc.pdf,Will Gifford,will@bikesnotbombs.org,617-522-0222,284 Amory Street,Jamaica Plain
14725,Blue Hill Boys & Girls Club - Junior Staff,Camp Counselor/ Summer Program Staff Support,https://bgcb-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobInfo&version=1&jobid=231,Rick Aggeler,raggeler@bgcb.org,617-506-5405,15 Talbot Ave,Dorchester
14728,Boston Chinatown Neighborhood Center - Youth Center Program Assistant,Camp Counselor/ Summer Program Staff Support,,Cynthia Wong,cynthia.wong@bcnc.net,617-635-5129,38 Ash Street,Chinatown
14729,Boston Chinatown Neighborhood Center - Childcare Program Assistant,Child Care/Day Care Facility,,Cynthia Wong,cynthia.wong@bcnc.net,617-635-5129,38 Ash Street,Chinatown
14730,Boston Chinatown Neighborhood Center - Operations Assistant,Administrative or Office Assistant,,Cynthia Wong,cynthia.wong@bcnc.net,617-635-5129,38 Ash Street,Chinatown
14731,Boston Housing Authority - Youth Leadership,Health Care,,Greg Davis,greg.davis@bostonhousing.org,617-988-5101,125 Amory Street,Roxbury
14732,Boston Housing Authority - Youth Leadership,Peer Leadership,,Greg Davis,greg.davis@bostonhousing.org,617-988-5101,125 Amory Street,Roxbury
14733,Boston Kroc Center - Summer with RJ - Group Leader,Camp Counselor/ Summer Program Staff Support,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/201021/4147467/99-8033fb088ea3d9eca281ba5fc509615c_Volunteer_Application.pdf,Ayeisha Mathis,ayeisha.mathis@use.salvationarmy.org,617-318-6945,650 Dudley St,Roxbury
14734,Boston Neighborhood Network - BNN Youth Voices Media Content Production Assistant,"Digital Media, Communications or Film",,Monique Douglas,mdouglas@bnntv.org,617-708-3205,3025 Washington St.,Roxbury
14735,Boston Park & Recreation - Park Rangers - Stable Hand,"Environment, Natural Resources, and/or Agriculture",,Hodari Keels,Hodari.Keels@Boston.gov,617-635-7383,1 Franklin Park Rd,Dorchester
14736,Boston Parks & Recreation - Baseball Crew,"Sports, Fitness and/or Recreation",,Billy Sittig,billy.sittig@boston.gov,617-961-3082,"1010 Massachusetts Ave, 3rd Floor   ",Roxbury
14737,Boston Parks & Recreation - Baseball Umpire Training,"Sports, Fitness and/or Recreation",,Billy Sittig,billy.sittig@boston.gov,617-961-3082,"1010 Massachusetts Ave, 3rd Floor   ",Roxbury
